name,value,year,lastValue,rank,colour,tcolour
Feyenoord,262,1960,188,2,#E83519,#000000
DOS Utrecht,252,1960,207,3,#FFFF00,#000000
SC Enschede,243,1960,191,4,#000000,#FFFFFF
PSV,237,1960,184,5,#E83519,#FFFFFF
Fortuna '54,235,1960,0,6,#136207,#FFFFFF
Sparta Rotterdam,232,1960,187,7,#E83519,#FFFFFF
NAC Breda,227,1960,175,8,#FFFF00,#000000
VVV-Venlo,226,1960,181,9,#FFFF00,#000000
Rapid JC Heerlen,221,1960,179,10,#FFFF00,#000000
Ajax,336,1961,285,1,#E83519,#FFFFFF
Feyenoord,315,1961,262,2,#E83519,#000000
DOS Utrecht,290,1961,252,3,#FFFF00,#000000
PSV,271,1961,237,4,#E83519,#FFFFFF
Sparta Rotterdam,269,1961,232,5,#E83519,#FFFFFF
Fortuna '54,255,1961,0,6,#136207,#FFFFFF
VVV-Venlo,249,1961,226,7,#FFFF00,#000000
SC Enschede,245,1961,243,8,#000000,#FFFFFF
NAC Breda,242,1961,227,9,#FFFF00,#000000
MVV Maastricht,233,1961,220,10,#E83519,#FFFFFF
Feyenoord,310,1962,315,1,#E83519,#000000
Ajax,307,1962,336,2,#E83519,#FFFFFF
DOS Utrecht,283,1962,290,3,#FFFF00,#000000
PSV,277,1962,271,4,#E83519,#FFFFFF
Sparta Rotterdam,270,1962,269,5,#E83519,#FFFFFF
NAC Breda,252,1962,242,6,#FFFF00,#000000
SC Enschede,241,1962,245,7,#000000,#FFFFFF
Fortuna '54,240,1962,0,8,#136207,#FFFFFF
MVV Maastricht,225,1962,233,9,#E83519,#FFFFFF
VVV-Venlo,218,1962,249,10,#FFFF00,#000000
Feyenoord,318,1963,310,1,#E83519,#000000
Ajax,309,1963,307,2,#E83519,#FFFFFF
PSV,294,1963,277,3,#E83519,#FFFFFF
NAC Breda,256,1963,252,4,#FFFF00,#000000
Sparta Rotterdam,247,1963,270,5,#E83519,#FFFFFF
DOS Utrecht,245,1963,283,6,#FFFF00,#000000
MVV Maastricht,221,1963,225,7,#E83519,#FFFFFF
SC Enschede,218,1963,241,8,#000000,#FFFFFF
ADO Den Haag,208,1963,201,9,#006d2c,#ffed00
Fortuna '54,206,1963,0,10,#136207,#FFFFFF
Feyenoord,329,1964,318,1,#E83519,#000000
PSV,286,1964,294,2,#E83519,#FFFFFF
Ajax,282,1964,309,3,#E83519,#FFFFFF
Sparta Rotterdam,234,1964,247,4,#E83519,#FFFFFF
DOS Utrecht,228,1964,245,5,#FFFF00,#000000
NAC Breda,227,1964,256,6,#FFFF00,#000000
SC Enschede,227,1964,218,7,#000000,#FFFFFF
Fortuna '54,210,1964,0,8,#136207,#FFFFFF
MVV Maastricht,205,1964,221,9,#E83519,#FFFFFF
DWS,202,1964,159,10,#0000FF,#000000
Feyenoord,307,1965,329,1,#E83519,#000000
PSV,277,1965,286,2,#E83519,#FFFFFF
Ajax,269,1965,282,3,#E83519,#FFFFFF
Sparta Rotterdam,231,1965,234,4,#E83519,#FFFFFF
DOS Utrecht,212,1965,228,5,#FFFF00,#000000
ADO Den Haag,209,1965,192,6,#006d2c,#ffed00
DWS,205,1965,202,7,#0000FF,#000000
Fortuna '54,203,1965,0,8,#136207,#FFFFFF
SC Enschede,197,1965,227,9,#000000,#FFFFFF
NAC Breda,194,1965,227,10,#FFFF00,#000000
Feyenoord,305,1966,307,1,#E83519,#000000
Ajax,279,1966,269,2,#E83519,#FFFFFF
PSV,263,1966,277,3,#E83519,#FFFFFF
Sparta Rotterdam,232,1966,231,4,#E83519,#FFFFFF
ADO Den Haag,231,1966,209,5,#006d2c,#ffed00
DWS,210,1966,205,6,#0000FF,#000000
DOS Utrecht,200,1966,212,7,#FFFF00,#000000
GVAV,199,1966,193,8,#008000,#FFFFFF
Fortuna '54,190,1966,0,9,#136207,#FFFFFF
MVV Maastricht,189,1966,190,10,#E83519,#FFFFFF
Feyenoord,337,1967,305,1,#E83519,#000000
Ajax,314,1967,279,2,#E83519,#FFFFFF
ADO Den Haag,261,1967,231,3,#006d2c,#ffed00
DWS,241,1967,210,4,#0000FF,#000000
PSV,241,1967,263,5,#E83519,#FFFFFF
Sparta Rotterdam,235,1967,232,6,#E83519,#FFFFFF
GVAV,212,1967,199,7,#008000,#FFFFFF
Go Ahead Eagles,207,1967,145,8,#FFFF00,#E83519
Fortuna '54,183,1967,0,9,#136207,#FFFFFF
MVV Maastricht,183,1967,189,10,#E83519,#FFFFFF
Feyenoord,357,1968,337,1,#E83519,#000000
Ajax,328,1968,314,2,#E83519,#FFFFFF
ADO Den Haag,263,1968,261,3,#006d2c,#ffed00
DWS,261,1968,241,4,#0000FF,#000000
Go Ahead Eagles,252,1968,207,5,#FFFF00,#E83519
Sparta Rotterdam,249,1968,235,6,#E83519,#FFFFFF
PSV,222,1968,241,7,#E83519,#FFFFFF
GVAV,212,1968,212,8,#008000,#FFFFFF
DOS Utrecht,168,1968,180,9,#FFFF00,#000000
MVV Maastricht,167,1968,183,10,#E83519,#FFFFFF
Ajax,385,1969,328,1,#E83519,#FFFFFF
Feyenoord,368,1969,357,2,#E83519,#000000
ADO Den Haag,281,1969,263,3,#006d2c,#ffed00
Go Ahead Eagles,269,1969,252,4,#FFFF00,#E83519
Sparta Rotterdam,253,1969,249,5,#E83519,#FFFFFF
PSV,246,1969,222,6,#E83519,#FFFFFF
DWS,221,1969,261,7,#0000FF,#000000
FC Twente,213,1969,162,8,#E83519,#FFFFFF
GVAV,188,1969,212,9,#008000,#FFFFFF
MVV Maastricht,179,1969,167,10,#E83519,#FFFFFF
Ajax,409,1970,385,1,#E83519,#FFFFFF
Feyenoord,388,1970,368,2,#E83519,#000000
ADO Den Haag,299,1970,281,3,#006d2c,#ffed00
Go Ahead Eagles,277,1970,269,4,#FFFF00,#E83519
Sparta Rotterdam,276,1970,253,5,#E83519,#FFFFFF
PSV,264,1970,246,6,#E83519,#FFFFFF
FC Twente,258,1970,213,7,#E83519,#FFFFFF
DWS,216,1970,221,8,#0000FF,#000000
GVAV,185,1970,188,9,#008000,#FFFFFF
MVV Maastricht,185,1970,179,10,#E83519,#FFFFFF
Ajax,414,1971,409,1,#E83519,#FFFFFF
Feyenoord,403,1971,388,2,#E83519,#000000
FC Twente,299,1971,258,3,#E83519,#FFFFFF
ADO Den Haag,296,1971,299,4,#006d2c,#ffed00
Sparta Rotterdam,285,1971,276,5,#E83519,#FFFFFF
PSV,278,1971,264,6,#E83519,#FFFFFF
Go Ahead Eagles,275,1971,277,7,#FFFF00,#E83519
DWS,197,1971,216,8,#0000FF,#000000
NAC Breda,194,1971,176,9,#FFFF00,#000000
MVV Maastricht,191,1971,185,10,#E83519,#FFFFFF
Ajax,414,1972,414,1,#E83519,#FFFFFF
Feyenoord,397,1972,403,2,#E83519,#000000
FC Twente,313,1972,299,3,#E83519,#FFFFFF
Sparta Rotterdam,287,1972,285,4,#E83519,#FFFFFF
PSV,286,1972,278,5,#E83519,#FFFFFF
ADO Den Haag,278,1972,296,6,#006d2c,#ffed00
Go Ahead Eagles,248,1972,275,7,#FFFF00,#E83519
N.E.C.,210,1972,188,8,#008000,#FF0000
MVV Maastricht,195,1972,191,9,#E83519,#FFFFFF
NAC Breda,188,1972,194,10,#FFFF00,#000000
Ajax,434,1973,414,1,#E83519,#FFFFFF
Feyenoord,399,1973,397,2,#E83519,#000000
FC Twente,324,1973,313,3,#E83519,#FFFFFF
PSV,309,1973,286,4,#E83519,#FFFFFF
Sparta Rotterdam,297,1973,287,5,#E83519,#FFFFFF
ADO Den Haag,289,1973,278,6,#006d2c,#ffed00
Go Ahead Eagles,228,1973,248,7,#FFFF00,#E83519
MVV Maastricht,208,1973,195,8,#E83519,#FFFFFF
N.E.C.,205,1973,210,9,#008000,#FF0000
Telstar,178,1973,172,10,#F4F3F1,#FFFFFF
Feyenoord,405,1974,399,1,#E83519,#000000
Ajax,403,1974,434,2,#E83519,#FFFFFF
FC Twente,340,1974,324,3,#E83519,#FFFFFF
PSV,306,1974,309,4,#E83519,#FFFFFF
Sparta Rotterdam,289,1974,297,5,#E83519,#FFFFFF
ADO Den Haag,268,1974,289,6,#006d2c,#ffed00
Go Ahead Eagles,221,1974,228,7,#FFFF00,#E83519
FC Utrecht,209,1974,168,8,#E83519,#FFFFFF
MVV Maastricht,200,1974,208,9,#E83519,#FFFFFF
Telstar,196,1974,178,10,#F4F3F1,#FFFFFF
Ajax,401,1975,403,1,#E83519,#FFFFFF
Feyenoord,401,1975,405,2,#E83519,#000000
FC Twente,336,1975,340,3,#E83519,#FFFFFF
PSV,316,1975,306,4,#E83519,#FFFFFF
Sparta Rotterdam,268,1975,289,5,#E83519,#FFFFFF
ADO Den Haag,242,1975,268,6,#006d2c,#ffed00
Telstar,212,1975,196,7,#F4F3F1,#FFFFFF
FC Utrecht,208,1975,209,8,#E83519,#FFFFFF
Go Ahead Eagles,203,1975,221,9,#FFFF00,#E83519
MVV Maastricht,203,1975,200,10,#E83519,#FFFFFF
Ajax,389,1976,401,1,#E83519,#FFFFFF
Feyenoord,389,1976,401,2,#E83519,#000000
PSV,336,1976,316,3,#E83519,#FFFFFF
FC Twente,319,1976,336,4,#E83519,#FFFFFF
Sparta Rotterdam,245,1976,268,5,#E83519,#FFFFFF
ADO Den Haag,230,1976,242,6,#006d2c,#ffed00
FC Utrecht,217,1976,208,7,#E83519,#FFFFFF
AZ,212,1976,162,8,#E83519,#FFFFFF
Telstar,202,1976,212,9,#F4F3F1,#FFFFFF
FC Amsterdam,184,1976,157,10,#F4F3F1,#000000
Ajax,374,1977,389,1,#E83519,#FFFFFF
PSV,368,1977,336,2,#E83519,#FFFFFF
Feyenoord,364,1977,389,3,#E83519,#000000
FC Twente,319,1977,319,4,#E83519,#FFFFFF
AZ,267,1977,212,5,#E83519,#FFFFFF
Sparta Rotterdam,236,1977,245,6,#E83519,#FFFFFF
ADO Den Haag,218,1977,230,7,#006d2c,#ffed00
FC Utrecht,213,1977,217,8,#E83519,#FFFFFF
Roda JC Kerkrade,210,1977,147,9,#FFFF00,#000000
FC Amsterdam,198,1977,184,10,#F4F3F1,#000000
PSV,364,1978,368,1,#E83519,#FFFFFF
Ajax,355,1978,374,2,#E83519,#FFFFFF
Feyenoord,326,1978,364,3,#E83519,#000000
FC Twente,295,1978,319,4,#E83519,#FFFFFF
AZ,286,1978,267,5,#E83519,#FFFFFF
Roda JC Kerkrade,255,1978,210,6,#FFFF00,#000000
Sparta Rotterdam,229,1978,236,7,#E83519,#FFFFFF
FC Utrecht,213,1978,213,8,#E83519,#FFFFFF
ADO Den Haag,196,1978,218,9,#006d2c,#ffed00
Go Ahead Eagles,195,1978,191,10,#FFFF00,#E83519
Ajax,375,1979,355,1,#E83519,#FFFFFF
PSV,358,1979,364,2,#E83519,#FFFFFF
Feyenoord,316,1979,326,3,#E83519,#000000
AZ,313,1979,286,4,#E83519,#FFFFFF
FC Twente,269,1979,295,5,#E83519,#FFFFFF
Roda JC Kerkrade,267,1979,255,6,#FFFF00,#000000
Sparta Rotterdam,223,1979,229,7,#E83519,#FFFFFF
ADO Den Haag,217,1979,196,8,#006d2c,#ffed00
FC Utrecht,217,1979,213,9,#E83519,#FFFFFF
Go Ahead Eagles,199,1979,195,10,#FFFF00,#E83519
Ajax,356,1980,375,1,#E83519,#FFFFFF
PSV,348,1980,358,2,#E83519,#FFFFFF
AZ,343,1980,313,3,#E83519,#FFFFFF
Feyenoord,314,1980,316,4,#E83519,#000000
Roda JC Kerkrade,272,1980,267,5,#FFFF00,#000000
FC Twente,266,1980,269,6,#E83519,#FFFFFF
FC Utrecht,247,1980,217,7,#E83519,#FFFFFF
Sparta Rotterdam,223,1980,223,8,#E83519,#FFFFFF
ADO Den Haag,220,1980,217,9,#006d2c,#ffed00
Go Ahead Eagles,199,1980,199,10,#FFFF00,#E83519
Ajax,355,1981,356,1,#E83519,#FFFFFF
AZ,354,1981,343,2,#E83519,#FFFFFF
PSV,344,1981,348,3,#E83519,#FFFFFF
Feyenoord,280,1981,314,4,#E83519,#000000
FC Twente,257,1981,266,5,#E83519,#FFFFFF
Roda JC Kerkrade,252,1981,272,6,#FFFF00,#000000
FC Utrecht,243,1981,247,7,#E83519,#FFFFFF
Sparta Rotterdam,239,1981,223,8,#E83519,#FFFFFF
Go Ahead Eagles,210,1981,199,9,#FFFF00,#E83519
NAC Breda,195,1981,198,10,#FFFF00,#000000
Ajax,377,1982,355,1,#E83519,#FFFFFF
AZ,340,1982,354,2,#E83519,#FFFFFF
PSV,333,1982,344,3,#E83519,#FFFFFF
Feyenoord,294,1982,280,4,#E83519,#000000
FC Utrecht,264,1982,243,5,#E83519,#FFFFFF
Roda JC Kerkrade,243,1982,252,6,#FFFF00,#000000
FC Twente,240,1982,257,7,#E83519,#FFFFFF
Sparta Rotterdam,232,1982,239,8,#E83519,#FFFFFF
Go Ahead Eagles,204,1982,210,9,#FFFF00,#E83519
NAC Breda,190,1982,195,10,#FFFF00,#000000
Ajax,384,1983,377,1,#E83519,#FFFFFF
PSV,344,1983,333,2,#E83519,#FFFFFF
Feyenoord,332,1983,294,3,#E83519,#000000
AZ,319,1983,340,4,#E83519,#FFFFFF
FC Utrecht,262,1983,264,5,#E83519,#FFFFFF
Roda JC Kerkrade,234,1983,243,6,#FFFF00,#000000
Sparta Rotterdam,227,1983,232,7,#E83519,#FFFFFF
Go Ahead Eagles,207,1983,204,8,#FFFF00,#E83519
FC Twente,202,1983,240,9,#E83519,#FFFFFF
PEC Zwolle,199,1983,160,10,#0000FF,#FFFFFF
Ajax,378,1984,384,1,#E83519,#FFFFFF
PSV,353,1984,344,2,#E83519,#FFFFFF
Feyenoord,331,1984,332,3,#E83519,#000000
AZ,293,1984,319,4,#E83519,#FFFFFF
FC Utrecht,258,1984,262,5,#E83519,#FFFFFF
Sparta Rotterdam,241,1984,227,6,#E83519,#FFFFFF
Roda JC Kerkrade,229,1984,234,7,#FFFF00,#000000
FC Groningen,212,1984,153,8,#008000,#FFFFFF
Go Ahead Eagles,204,1984,207,9,#FFFF00,#E83519
Haarlem,191,1984,173,10,#E83519,#0000FF
Ajax,405,1985,378,1,#E83519,#FFFFFF
PSV,372,1985,353,2,#E83519,#FFFFFF
Feyenoord,343,1985,331,3,#E83519,#000000
FC Utrecht,257,1985,258,4,#E83519,#FFFFFF
Sparta Rotterdam,257,1985,241,5,#E83519,#FFFFFF
AZ,256,1985,293,6,#E83519,#FFFFFF
FC Groningen,254,1985,212,7,#008000,#FFFFFF
Roda JC Kerkrade,235,1985,229,8,#FFFF00,#000000
Haarlem,228,1985,191,9,#E83519,#0000FF
Go Ahead Eagles,219,1985,204,10,#FFFF00,#E83519
Ajax,412,1986,405,1,#E83519,#FFFFFF
PSV,384,1986,372,2,#E83519,#FFFFFF
Feyenoord,348,1986,343,3,#E83519,#000000
FC Groningen,268,1986,254,4,#008000,#FFFFFF
Roda JC Kerkrade,252,1986,235,5,#FFFF00,#000000
Sparta Rotterdam,252,1986,257,6,#E83519,#FFFFFF
Haarlem,244,1986,228,7,#E83519,#0000FF
FC Utrecht,237,1986,257,8,#E83519,#FFFFFF
AZ,225,1986,256,9,#E83519,#FFFFFF
Go Ahead Eagles,210,1986,219,10,#FFFF00,#E83519
PSV,399,1987,384,1,#E83519,#FFFFFF
Ajax,387,1987,412,2,#E83519,#FFFFFF
Feyenoord,339,1987,348,3,#E83519,#000000
Sparta Rotterdam,252,1987,252,4,#E83519,#FFFFFF
FC Groningen,245,1987,268,5,#008000,#FFFFFF
Roda JC Kerkrade,243,1987,252,6,#FFFF00,#000000
Haarlem,236,1987,244,7,#E83519,#0000FF
FC Utrecht,227,1987,237,8,#E83519,#FFFFFF
Fortuna Sittard,225,1987,198,9,#136207,#FFFFFF
FC Den Bosch,207,1987,170,10,#0000FF,#FFFFFF
PSV,402,1988,399,1,#E83519,#FFFFFF
Ajax,378,1988,387,2,#E83519,#FFFFFF
Feyenoord,309,1988,339,3,#E83519,#000000
FC Groningen,252,1988,245,4,#008000,#FFFFFF
Sparta Rotterdam,244,1988,252,5,#E83519,#FFFFFF
FC Den Bosch,240,1988,207,6,#0000FF,#FFFFFF
Roda JC Kerkrade,238,1988,243,7,#FFFF00,#000000
Fortuna Sittard,236,1988,225,8,#136207,#FFFFFF
Haarlem,235,1988,236,9,#E83519,#0000FF
FC Utrecht,222,1988,227,10,#E83519,#FFFFFF
PSV,401,1989,402,1,#E83519,#FFFFFF
Ajax,373,1989,378,2,#E83519,#FFFFFF
Feyenoord,277,1989,309,3,#E83519,#000000
Roda JC Kerkrade,251,1989,238,4,#FFFF00,#000000
FC Groningen,240,1989,252,5,#008000,#FFFFFF
FC Twente,240,1989,215,6,#E83519,#FFFFFF
Sparta Rotterdam,239,1989,244,7,#E83519,#FFFFFF
FC Den Bosch,234,1989,240,8,#0000FF,#FFFFFF
Fortuna Sittard,234,1989,236,9,#136207,#FFFFFF
FC Utrecht,225,1989,222,10,#E83519,#FFFFFF
PSV,388,1990,401,1,#E83519,#FFFFFF
Ajax,357,1990,373,2,#E83519,#FFFFFF
FC Twente,244,1990,240,3,#E83519,#FFFFFF
Feyenoord,240,1990,277,4,#E83519,#000000
Roda JC Kerkrade,240,1990,251,5,#FFFF00,#000000
FC Groningen,234,1990,240,6,#008000,#FFFFFF
Fortuna Sittard,221,1990,234,7,#136207,#FFFFFF
Sparta Rotterdam,214,1990,239,8,#E83519,#FFFFFF
FC Utrecht,206,1990,225,9,#E83519,#FFFFFF
FC Den Bosch,195,1990,234,10,#0000FF,#FFFFFF
PSV,390,1991,388,1,#E83519,#FFFFFF
Ajax,355,1991,357,2,#E83519,#FFFFFF
FC Twente,269,1991,244,3,#E83519,#FFFFFF
Feyenoord,253,1991,240,4,#E83519,#000000
FC Groningen,251,1991,234,5,#008000,#FFFFFF
Roda JC Kerkrade,241,1991,240,6,#FFFF00,#000000
FC Utrecht,230,1991,206,7,#E83519,#FFFFFF
Fortuna Sittard,214,1991,221,8,#136207,#FFFFFF
Sparta Rotterdam,211,1991,214,9,#E83519,#FFFFFF
FC Volendam,201,1991,156,10,#FFA500,#000000
PSV,377,1992,390,1,#E83519,#FFFFFF
Ajax,355,1992,355,2,#E83519,#FFFFFF
FC Twente,262,1992,269,3,#E83519,#FFFFFF
FC Groningen,260,1992,251,4,#008000,#FFFFFF
Feyenoord,253,1992,253,5,#E83519,#000000
Roda JC Kerkrade,232,1992,241,6,#FFFF00,#000000
FC Utrecht,226,1992,230,7,#E83519,#FFFFFF
FC Volendam,225,1992,201,8,#FFA500,#000000
Willem II,201,1992,187,9,#0000FF,#FF0000
Sparta Rotterdam,200,1992,211,10,#E83519,#FFFFFF
Ajax,373,1993,355,1,#E83519,#FFFFFF
PSV,369,1993,377,2,#E83519,#FFFFFF
Feyenoord,289,1993,253,3,#E83519,#000000
FC Twente,261,1993,262,4,#E83519,#FFFFFF
Vitesse,256,1993,181,5,#FFFF00,#000000
Roda JC Kerkrade,247,1993,232,6,#FFFF00,#000000
FC Groningen,237,1993,260,7,#008000,#FFFFFF
FC Utrecht,225,1993,226,8,#E83519,#FFFFFF
RKC Waalwijk,217,1993,198,9,#0000FF,#FFFF00
FC Volendam,216,1993,225,10,#FFA500,#000000
Ajax,376,1994,373,1,#E83519,#FFFFFF
PSV,354,1994,369,2,#E83519,#FFFFFF
Feyenoord,306,1994,289,3,#E83519,#000000
Vitesse,273,1994,256,4,#FFFF00,#000000
FC Twente,270,1994,261,5,#E83519,#FFFFFF
Roda JC Kerkrade,243,1994,247,6,#FFFF00,#000000
FC Groningen,232,1994,237,7,#008000,#FFFFFF
Willem II,222,1994,213,8,#0000FF,#FF0000
FC Utrecht,212,1994,225,9,#E83519,#FFFFFF
FC Volendam,208,1994,216,10,#FFA500,#000000
Ajax,413,1995,376,1,#E83519,#FFFFFF
PSV,368,1995,354,2,#E83519,#FFFFFF
Feyenoord,331,1995,306,3,#E83519,#000000
Vitesse,281,1995,273,4,#FFFF00,#000000
FC Twente,279,1995,270,5,#E83519,#FFFFFF
Roda JC Kerkrade,265,1995,243,6,#FFFF00,#000000
Willem II,239,1995,222,7,#0000FF,#FF0000
FC Groningen,221,1995,232,8,#008000,#FFFFFF
RKC Waalwijk,220,1995,205,9,#0000FF,#FFFF00
Sparta Rotterdam,209,1995,199,10,#E83519,#FFFFFF
Ajax,391,1996,413,1,#E83519,#FFFFFF
PSV,364,1996,368,2,#E83519,#FFFFFF
Feyenoord,342,1996,331,3,#E83519,#000000
Vitesse,281,1996,281,4,#FFFF00,#000000
Roda JC Kerkrade,277,1996,265,5,#FFFF00,#000000
FC Twente,276,1996,279,6,#E83519,#FFFFFF
Willem II,223,1996,239,7,#0000FF,#FF0000
Sparta Rotterdam,205,1996,209,8,#E83519,#FFFFFF
RKC Waalwijk,202,1996,220,9,#0000FF,#FFFF00
FC Groningen,197,1996,221,10,#008000,#FFFFFF
Ajax,411,1997,391,1,#E83519,#FFFFFF
PSV,357,1997,364,2,#E83519,#FFFFFF
Feyenoord,349,1997,342,3,#E83519,#000000
Vitesse,297,1997,281,4,#FFFF00,#000000
Roda JC Kerkrade,286,1997,277,5,#FFFF00,#000000
FC Twente,280,1997,276,6,#E83519,#FFFFFF
Willem II,227,1997,223,7,#0000FF,#FF0000
sc Heerenveen,217,1997,161,8,#0000FF,#FFFFFF
Sparta Rotterdam,215,1997,205,9,#E83519,#FFFFFF
NAC Breda,209,1997,169,10,#FFFF00,#000000
Ajax,391,1998,411,1,#E83519,#FFFFFF
PSV,353,1998,357,2,#E83519,#FFFFFF
Feyenoord,332,1998,349,3,#E83519,#000000
Vitesse,291,1998,297,4,#FFFF00,#000000
Roda JC Kerkrade,277,1998,286,5,#FFFF00,#000000
FC Twente,274,1998,280,6,#E83519,#FFFFFF
sc Heerenveen,250,1998,217,7,#0000FF,#FFFFFF
Willem II,226,1998,227,8,#0000FF,#FF0000
NAC Breda,213,1998,209,9,#FFFF00,#000000
Sparta Rotterdam,204,1998,215,10,#E83519,#FFFFFF
Ajax,377,1999,391,1,#E83519,#FFFFFF
PSV,366,1999,353,2,#E83519,#FFFFFF
Feyenoord,345,1999,332,3,#E83519,#000000
Vitesse,298,1999,291,4,#FFFF00,#000000
Roda JC Kerkrade,279,1999,277,5,#FFFF00,#000000
FC Twente,268,1999,274,6,#E83519,#FFFFFF
sc Heerenveen,265,1999,250,7,#0000FF,#FFFFFF
Willem II,247,1999,226,8,#0000FF,#FF0000
RKC Waalwijk,196,1999,189,9,#0000FF,#FFFF00
Sparta Rotterdam,190,1999,204,10,#E83519,#FFFFFF
PSV,365,2000,366,1,#E83519,#FFFFFF
Feyenoord,353,2000,345,2,#E83519,#000000
Ajax,332,2000,377,3,#E83519,#FFFFFF
Vitesse,313,2000,298,4,#FFFF00,#000000
Roda JC Kerkrade,269,2000,279,5,#FFFF00,#000000
sc Heerenveen,267,2000,265,6,#0000FF,#FFFFFF
FC Twente,263,2000,268,7,#E83519,#FFFFFF
Willem II,240,2000,247,8,#0000FF,#FF0000
FC Utrecht,209,2000,186,9,#E83519,#FFFFFF
Fortuna Sittard,190,2000,173,10,#136207,#FFFFFF
PSV,363,2001,365,1,#E83519,#FFFFFF
Ajax,335,2001,332,2,#E83519,#FFFFFF
Feyenoord,334,2001,353,3,#E83519,#000000
Vitesse,305,2001,313,4,#FFFF00,#000000
sc Heerenveen,277,2001,267,5,#0000FF,#FFFFFF
Willem II,254,2001,240,6,#0000FF,#FF0000
Roda JC Kerkrade,253,2001,269,7,#FFFF00,#000000
FC Twente,242,2001,263,8,#E83519,#FFFFFF
FC Utrecht,234,2001,209,9,#E83519,#FFFFFF
RKC Waalwijk,206,2001,180,10,#0000FF,#FFFF00
PSV,370,2002,363,1,#E83519,#FFFFFF
Feyenoord,333,2002,334,2,#E83519,#000000
Ajax,326,2002,335,3,#E83519,#FFFFFF
Vitesse,291,2002,305,4,#FFFF00,#000000
sc Heerenveen,269,2002,277,5,#0000FF,#FFFFFF
Willem II,257,2002,254,6,#0000FF,#FF0000
Roda JC Kerkrade,256,2002,253,7,#FFFF00,#000000
FC Twente,238,2002,242,8,#E83519,#FFFFFF
FC Utrecht,237,2002,234,9,#E83519,#FFFFFF
RKC Waalwijk,217,2002,206,10,#0000FF,#FFFF00
PSV,386,2003,370,1,#E83519,#FFFFFF
Feyenoord,339,2003,333,2,#E83519,#000000
Ajax,338,2003,326,3,#E83519,#FFFFFF
sc Heerenveen,269,2003,269,4,#0000FF,#FFFFFF
Roda JC Kerkrade,255,2003,256,5,#FFFF00,#000000
Vitesse,252,2003,291,6,#FFFF00,#000000
Willem II,251,2003,257,7,#0000FF,#FF0000
FC Utrecht,241,2003,237,8,#E83519,#FFFFFF
FC Twente,231,2003,238,9,#E83519,#FFFFFF
AZ,229,2003,201,10,#E83519,#FFFFFF
PSV,394,2004,386,1,#E83519,#FFFFFF
Ajax,359,2004,338,2,#E83519,#FFFFFF
Feyenoord,340,2004,339,3,#E83519,#000000
sc Heerenveen,271,2004,269,4,#0000FF,#FFFFFF
FC Utrecht,255,2004,241,5,#E83519,#FFFFFF
Roda JC Kerkrade,255,2004,255,6,#FFFF00,#000000
AZ,244,2004,229,7,#E83519,#FFFFFF
Vitesse,238,2004,252,8,#FFFF00,#000000
NAC Breda,227,2004,183,9,#FFFF00,#000000
