Club,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
RBC Roosendaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,30,71,98,116,117,101,60,33,5,0,0,0,0,0,0,0,0,0
RKC Waalwijk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,68,109,161,198,217,205,220,202,199,189,196,180,206,217,229,227,240,205,174,136,104,54,47,82,115,117,114,96,47,14,0
Roda JC Kerkrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,49,93,147,210,255,267,272,252,243,234,229,235,252,243,238,251,240,241,232,247,243,265,277,286,277,279,269,253,256,255,255,242,248,260,244,219,238,231,206,213,191,145,129,125,108,97
SC Cambuur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,56,56,56,44,43,41,57,57,57,36,16,0,0,0,0,0,0,0,0,16,65,93,98,98,82,33
SC Enschede,28,91,155,191,243,245,241,218,227,197,167,108,67,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc Heerenveen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,33,53,96,136,161,217,250,265,267,277,269,269,271,282,276,280,286,274,263,248,250,244,246,244,256,239,229,192
SHS,0,0,14,25,25,25,25,11,0,0,0,0,17,72,105,120,120,103,48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sittardia,0,0,0,16,21,21,21,21,15,31,51,88,104,94,73,53,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparta Rotterdam,17,72,129,187,232,269,270,247,234,231,232,235,249,253,276,285,287,297,289,268,245,236,229,223,223,239,232,227,241,257,252,252,244,239,214,211,200,202,199,209,205,215,204,190,179,165,126,97,70,52,64,86,126,161,153,110,83,43,8,0,17,45,61,61
SVV,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,20,20,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,32,32,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telstar,0,0,0,0,0,0,0,0,18,50,83,119,156,165,164,175,172,178,196,212,202,192,160,115,68,34,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veendam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,48,59,59,43,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,22,22,22,13,25,61,94,110,110,85,49,16,0,0,0,0,32,77,137,181,256,273,281,281,297,291,298,313,305,291,252,238,223,215,206,209,213,192,194,216,249,243,275,270,263,248,222
VVV-Venlo,25,79,128,181,226,249,218,169,116,71,23,0,0,0,0,0,0,0,0,0,19,51,83,90,90,71,39,7,0,23,61,112,147,165,142,112,68,57,47,47,39,32,8,0,0,0,0,0,0,0,0,17,29,49,74,95,114,115,95,70,49,35,57,66
Wageningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,30,30,30,15,15,27,27,27,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willem II,10,30,46,95,124,170,183,184,135,119,97,68,51,51,38,4,0,0,0,0,0,0,0,19,69,100,137,176,159,109,78,66,66,104,139,187,201,213,222,239,223,227,226,247,240,254,257,251,225,212,201,182,181,164,145,121,106,74,67,98,117,138,167,162
XerxesDZB,0,0,0,0,0,0,0,0,0,0,23,66,95,95,95,72,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
